question_number,section,question_id,question_type,correct_answer,correct_answers,alternatives,has_image,image_file,statement
12,Turma 115 -T1- Transformada em objetiva,a3fc6a0f-a8df-5217-bc36-e73eaa1fe7b3,single,B,B,4,False,,"AMM, 42 anos, HIV positivo, em tratamento com TARV iniciado há 2 semanas, relata febre baixa (37,9°C), adinamia e lesões dolorosas em mucosa oral e vaginal há 15 dias, caracterizadas por vesículas agrupadas sobre base eritematosa. Qual alternativa apresenta corretamente o diagnóstico clínico?"
13,Turma 115 -T1- Transformada em objetiva,3291f9ff-af6e-571a-8a5e-8466b2e9dc28,single,A,A,4,False,,"Embora o diagnóstico do herpes simples seja predominantemente clínico, qual alternativa apresenta dois exames complementares que podem auxiliar na confirmação diagnóstica?"
14,Turma 116 -T1,605fbde6-8cdd-5484-bc0d-7ef9199b744c,single,A,A,4,False,,"Em relação ao impetigo, é incorreta:"
15,Turma 116 -T1,8f3c13c0-6783-55fa-8446-346b1813ad3e,single,C,C,4,False,,"Em relação à celulite, é incorreto:"
16,Turma 116 -T1,a4cec8bf-b746-5f78-840b-4ca9807a6c53,single,B,B,4,False,,"Em relação às foliculites, é incorreto afirmar:"
17,Turma 116 -T1,448f884e-1b53-57fa-ac3a-2693b2893ddf,single,C,C,4,False,,"Em relação à esporotricose, é correto:"
18,Turma 116 -T1,aef168d5-ed90-5eab-9323-f550b2cbe1a2,single,B,B,4,False,,"Em relação à cromomicose, é incorreto:"
19,Turma 116 -T1,46048e4a-5d9c-5b3b-b713-e75c41feb79c,single,D,D,4,False,,"Em relação à escabiose, é incorreto:"
20,Turma 116 -T1,a4899cfa-111c-516a-9f7c-8277fa8b15e6,single,C,C,4,False,,"Em relação à larva migrans, é incorreto:"
21,Turma 116 -T1,0e13fb50-06d9-56e4-8093-878fad500cb2,single,C,C,4,False,,"Em relação ao tratamento da acne, é incorreta:"
22,Turma 116 -T1,6be6b5e5-ce91-5ff6-9372-773e6803b444,single,D,D,4,False,,"AMM, 72 anos, diabético, adinamia, refere dor de moderada intensidade, dolorosas, as lesões se iniciaram 3 dias, na região intercostal, obedecendo um dermátomo, sobre o caso clínico, Qual o diagnóstico etiológico?"
23,Turma 116 -T1,101562b4-281c-556d-88b9-2cc6277e778d,single,A,A,4,False,,"AMM, 72 anos, diabético, adinamia, refere dor de moderada intensidade, dolorosas, as lesões se iniciaram 3 dias, na região intercostal, obedecendo um dermátomo, sobre o caso clínico, Se houver complicações, citar 1 neste caso."
24,Turma 116 -T2,c60738de-94a2-528d-acf4-6f2424ab43d4,single,C,C,4,False,,"Em relação ao impetigo, é incorreta:"
25,Turma 116 -T2,40edf7a9-c784-5368-a8a2-8f8f239a5a5c,single,B,B,4,False,,"Sobre a Síndrome da Pele Escaldada Estafilocócica (SSSS), é incorreta:"
26,Turma 116 -T2,965e02b4-2573-53a8-8d73-f6b4db2d16f7,single,D,D,4,False,,"Em relação à erisipela, é correto:"
27,Turma 116 -T2,d7698e94-01f1-546c-98da-a0b1d597962a,single,B,B,4,False,,"Em relação às foliculites, é incorreto afirmar:"
28,Turma 116 -T2,8e5e5ce3-4587-51b2-8744-b9213281a986,single,D,D,4,False,,"Em relação à esporotricose, é correto afirmar:"
29,Turma 116 -T2,7bb0cb45-060e-529a-908b-9c78d595b8ea,single,A,A,4,False,,"Em relação à cromomicose, é incorreto:"
30,Turma 116 -T2,5685eb47-587b-52a7-87ad-0d0467cc736d,single,C,C,4,False,,"Em relação à larva migrans, é incorreto:"
31,Turma 116 -T2,12fb42c0-e603-5bb6-a279-60ba4e97650b,single,B,B,4,False,,"Em relação à acne, é incorreto:"
32,Turma 116 -T2,85f1c539-dfe6-5435-b184-eafec07d3a92,single,C,C,4,False,,"AMJL, 42 anos, anti-HIV positivo, em tratamento com TARV iniciado há 2 semanas, relata febre baixa (37,9°C), adinamia, dor em região facial unilateral, há 3 dias, fez uso de anti-inflamatório sem melhoras, posteriormente surgiram lesões vesiculares agrupadas e base eritematosa que segue o trajeto do nervo facial, sobre o caso clínico. Qual o diagnóstico clínico"
33,Turma 116 -T2,eed9a312-1837-5f47-b7d6-57ee9b762c4a,single,B,B,4,False,,"AMJL, 42 anos, anti-HIV positivo, em tratamento com TARV iniciado há 2 semanas, relata febre baixa (37,9°C), adinamia, dor em região facial unilateral, há 3 dias, fez uso de anti-inflamatório sem melhoras, posteriormente surgiram lesões vesiculares agrupadas e base eritematosa que segue o trajeto do nervo facial, sobre o caso clínico. qual alternativa traz duas complicações possíveis no caso acima?"
34,Turma 117 -T1,60fa3b1d-a08b-56ad-a8d7-48790c748afc,single,B,B,4,False,,"Em relação ao impetigo, é incorreto afirmar:"
35,Turma 117 -T1,f391b56a-6380-50d8-95bc-7799226235f5,single,D,D,4,False,,"Em relação a erisipela, é incorreto afirmar:"
36,Turma 117 -T1,db041f84-91fa-5386-8c46-ab5682f81425,single,A,A,4,False,,"Em relação ao tratamento do impetigo, todas são corretas exceto:"
37,Turma 117 -T1,873adaec-92bf-5d6e-be5f-21d7af247f0e,single,C,C,4,False,,"Em relação a cromomicose, é incorreto:"
38,Turma 117 -T1,0cb85006-26f9-5902-8683-3bf86b07d5c8,single,D,D,4,False,,"Em relação a esporotricose, é incorreto:"
39,Turma 117 -T1,33a7391c-f9ca-5152-87a2-a6834968f767,single,B,B,4,False,,"Em relação a cromomicose, é correto afirmar:"
40,Turma 117 -T1,df13c29a-a8fb-5a6c-bac5-51effc3929e5,single,D,D,4,False,,"Em relação a acne, é incorreto afirmar:"
41,Turma 117 -T1,6bd59bb4-5ee3-5cc8-8df4-34c0b153d052,single,D,D,4,False,,"Em relação a acne, é correto afirmar:"
42,Turma 117 -T1,19560a07-f089-52dd-af0b-e9865f96ad5a,single,C,C,4,False,,"Em relação à escabiose, é incorreto:"
43,Turma 118 -T2,9ffee39d-a07c-5f0c-901c-f625bf6a4823,single,B,B,4,False,,"Em relação ao impetigo, é incorreta:"
44,Turma 118 -T2,4f707617-8a8b-5af1-9232-667a0db9fe82,single,D,D,4,False,,"Em relação à erisipela, é correto:"
45,Turma 118 -T2,04061c99-751c-5c38-8d90-b154e5ef5694,single,D,D,4,False,,"Em relação às foliculites, é incorreto afirmar:"
46,Turma 118 -T2,629d2877-1048-5e0a-8655-44b62ff186c6,single,C,C,4,False,,"Em relação à esporotricose, é correto:"
47,Turma 118 -T2,7196fbce-c5d8-5d4e-be9d-d69a852d4324,single,A,A,4,False,,"Em relação à cromomicose, é correto:"
48,Turma 118 -T2,a3e6eb60-2879-55cc-a384-4eec95e537d5,single,D,D,4,False,,"A pediculose é uma dermatozoonose comum em nosso meio, é correto afirmar:"
49,Turma 118 -T2,70b30b16-102c-5c19-ac5f-d3403e0d5dd9,single,D,D,4,False,,"Em relação à tungíase, é incorreto:"
50,Turma 118 -T2,0677c3e0-c615-587a-8579-7c7796f25419,single,A,A,4,False,,"Em relação ao tratamento da acne, é incorreta:"
51,Turma 118 -T2,de26c824-79f7-5c16-9a3b-d059d731c823,single,D,D,4,False,,"Em relação à acne, são corretas, exceto:"
52,Dermatoviroses - Estudo dirigido,c741ebf6-103c-5666-9962-8c45ac86a227,single,A,A,4,False,,"Escolar, com 6 anos de idade, é trazido pela mãe com lesões em face, pescoço, axilas e coxas, individualizadas, na cor da pele, em forma de cúpula, com umbilicação central. Mãe relata que “espremeu” uma lesão, com saída de uma substância clara de dentro da lesão e que o primo do paciente apresenta o mesmo quadro clínico. Trata-se de:"
53,Dermatoviroses - Estudo dirigido,f37df542-2203-5aef-bda9-ca2f21800f22,single,E,E,5,False,,"Criança de 3 anos, hígida, apresenta múltiplas pápulas cor da pele, lisas e firmes, de 0,1 a 0,3 cm, com umbilicação central, localizadas na região lateral do tronco, assintomáticas, que surgiram há cerca de 1 mês. Com base no quadro clínico descrito, assinale a alternativa CORRETA:"
54,Dermatoviroses - Estudo dirigido,1c7e0bec-6b82-5141-9384-ef46c250149b,single,A,A,4,False,,"Criança de 7 anos apresenta lesões peroladas, lisas, em forma de cúpula e com umbilicação central, que estão se espalhando pelo corpo rapidamente nos últimos meses. Surgem mais no pescoço, face e coxas. Sobre esta lesão, pode-se afirmar que:"
55,Dermatoviroses - Estudo dirigido,e26a6015-a35a-52f0-9cd3-2857f929011a,single,B,B,4,False,,Sobre o Herpes zoster é CORRETO afirmar:
56,Dermatoviroses - Estudo dirigido,53d69f6d-c0f8-5748-a20d-03629319e184,single,C,C,4,False,,Sobre o Herpes zoster é correto afirmar:
57,Dermatoviroses - Estudo dirigido,d948dc39-f72c-5b2a-967c-286c388f6a4b,single,A,A,4,False,,"Criança de 7 anos apresenta lesões peroladas, lisas, em forma de cúpula e com umbilicação central, que estão se espalhando pelo corpo rapidamente nos últimos meses, ocorrendo em pescoço, face e coxas. Sobre esta lesão, pode-se afirmar que:"
58,Dermatoviroses - Estudo dirigido,4d6e8df7-0bef-5eee-a497-765570a376ce,single,D,D,4,False,,"Os vírus da família Herpesviridae são agentes etiológicos de infecções no homem e em animais, capazes de permanecer longo tempo em latência na célula do hospedeiro. A respeito do herpes simples, marque a alternativa correta:"
59,Dermatoviroses - Estudo dirigido,e5e47dbb-f6e9-5e9a-8bcf-b0bde26e64cd,single,C,C,4,False,,"Quanto ao vírus varicela-zoster, é INCORRETO afirmar que:"
60,Dermatoviroses - Estudo dirigido,2c8e7246-d5ba-5f5a-b1ff-70a473ad105c,single,A,A,4,False,,"Alguns indivíduos podem permanecer com sintoma de dor mesmo após a resolução das lesões cutâneas de herpes zoster, configurando a neuralgia pós-herpética. Marque a alternativa INCORRETA quanto a esse quadro:"
61,Dermatoviroses - Estudo dirigido,db7671ff-5bc5-5bd1-b5c4-ba7c0ced667b,single,D,D,4,False,,"Dentre as alternativas abaixo, marque a que contém opção terapêutica para o tratamento do molusco contagioso."
62,Dermatoviroses - Estudo dirigido,7d8381db-83f1-5f9c-881d-4dc6c83afe59,single,B,B,4,False,,Marque a alternativa que NÃO está relacionada ao herpes zóster:
63,Dermatoviroses - Estudo dirigido,9000ebaa-a57f-54f7-878b-7b2ee3a4550e,single,B,B,4,False,,"Em relação ao herpes vírus, é incorreto afirmar:"
64,Dermatoviroses - Estudo dirigido,0f81080d-75eb-5619-ad0c-95e1ca30b114,single,A,A,4,False,,"Em relação a infecção do vírus varicela-zóster, é incorreto:"
65,Dermatoviroses - Estudo dirigido,edc8c626-4f03-5531-bdc1-679c8bd8d3e1,single,C,C,4,False,,"Sobre o molusco contagioso, é correto afirmar:"
66,Dermatoviroses - Estudo dirigido,cdf582ff-d5c8-540d-891a-7c23d7060733,single,E,E,5,False,,"Sobre as infecções por Vírus Herpes Simplex 1 e 2, assinale a alternativa incorreta:"
67,Dermatoviroses - Estudo dirigido,76ba9f5b-f358-5333-8706-05e28eb190fe,single,D,D,4,False,,"O Vírus da Varicela-Zoster (HHV-3) é responsável por duas entidades clínicas relacionadas entre si. A respeito delas, assinale a alternativa correta:"
68,Dermatoviroses - Estudo dirigido,b3ca796a-8f4f-5058-bfcf-44f024ab6f46,single,B,B,4,False,,"Assinale a opção correta no que se refere à varicela, causada pelo vírus varicela-zoster (VZV):"
69,Dermatoviroses - Estudo dirigido,f636acf8-3883-5929-a91a-b0aba1595d5a,single,A,A,4,True,dermatologia_p2_q069.png,"Você é médico em uma Unidade de Saúde da Família e uma mãe traz seu filho de 7 anos para a consulta, pois o menino iniciou com lesões no tronco, ombros e face (imagem abaixo) há alguns dias. As lesões não são pruriginosas, não doem, mas estão se espalhando e a mãe está preocupada, pois tem outros filhos e a criança frequenta a escola. O diagnóstico mais provável é:"
70,Dermatoviroses - Estudo dirigido,c1a33fe6-2384-5fdb-bbde-d80d8ab70c3a,single,C,C,4,False,,"Em relação a infecção pelo herpes simples, é incorreto:"
71,Dermatoviroses - Estudo dirigido,4ab2aabc-110b-548a-9331-ed0a8a9ce5c9,single,B,B,4,False,,"Em relação ao herpes zoster, é incorreto:"
72,Dermatoviroses - Estudo dirigido,1591503e-a01f-5f71-8e47-ef6b3d51cfb0,single,D,D,4,False,,"Em relação ao molusco contagioso, é incorreto:"
73,Micoses Subcutâneas - Estudo dirigido,a31a4bc9-8077-5acb-af98-5d1437266564,single,D,D,4,False,,"Paciente feminina, estudante, 15 anos, relata surgimento de “ferida” em ombro direito há 15 dias, sem fatores desencadeantes aparentes. Fez uso de antibiótico tópico, sem melhora. Após exame clínico e complementar, recebeu o diagnóstico de esporotricose. Quanto à essa doença, marque a alternativa correta:"
74,Micoses Subcutâneas - Estudo dirigido,66fa0a2d-c9ff-52fd-9e21-d27d2759759b,single,B,B,4,False,,"Paciente masculino, 40 anos, agricultor, apresentando placa verrucosa em perna esquerda há 6 meses, assintomática. Procurou a Unidade de Saúde, sendo submetido à biópsia da lesão com envio de material para exame micológico direto e cultura, o qual evidenciou estruturas fúngicas. Quanto ao caso relatado, marque a alternativa INCORRETA:"
75,Micoses Subcutâneas - Estudo dirigido,2fb73a25-b521-51f6-88ae-db1dc8f4b498,single,D,D,4,False,,"Paciente de 18 anos, estudante, relata aparecimento de lesão cutânea na mão direita há seis meses. Fez uso correto de antibiótico oral (cefalexina) por 14 dias, sem melhora. Nega possuir animais de estimação; nega contato com terra ou vegetação. No exame físico, observa-se lesão nodular eritematosa em dorso de mão direita. Marque a alternativa correta:"
76,Micoses Subcutâneas - Estudo dirigido,2d5aed02-6a49-5db7-9c19-f380f106f621,single,D,D,4,False,,"A cromomicose é micose subcutânea crônica ocasionada por fungos demáceos pigmentados, como os do gênero Fonsecaea e Cladosporium. que são encontrados no solo e em vegetações. Sobre esta micose, marque a alternativa INCORRETA:"
77,Micoses Subcutâneas - Estudo dirigido,9dc7feb0-80ed-5972-882f-a555a8cadbef,single,A,A,4,False,,"Quanto ao micetoma, é INCORRETO afirmar que:"
78,Micoses Subcutâneas - Estudo dirigido,8491d751-20fa-5d68-bd7d-b19441d02c26,single,B,B,4,False,,"Sobre a esporotricose, é INCORRETO afirmar que:"
79,Micoses Subcutâneas - Estudo dirigido,f0202844-62e6-5cd5-80c3-382f722d50f6,single,C,C,4,False,,"Sobre a esporotricose, é CORRETO afirmar que:"
80,Micoses Subcutâneas - Estudo dirigido,aeaffff5-1a73-56ed-a0c0-0cdbd837d046,single,D,D,4,False,,"Sobre a cromomicose, é INCORRETO afirmar que:"
81,Micoses Subcutâneas - Estudo dirigido,624aec7c-1361-5fa7-ab60-b860c02b52dc,single,D,D,4,False,,"Menino de 10 anos de idade, há um mês foi ferido por um gato, evoluindo com lesão na mão direita que progrediu com surgimento de novas lesões no antebraço direito. Sem doenças prévias. Ao exame dermatológico, observam-se vários nódulos ulcerados medindo de 0,3 cm a 1,5 cm, dispostos linearmente ao longo do trajeto linfático, em ""conta de rosário"", acometendo o dorso da mão direita e o antebraço direito. Qual é a hipótese diagnóstica mais provável?"
82,Micoses Subcutâneas - Estudo dirigido,fad5bcf7-dcb2-5c8b-b643-5d5d9eb7e0d0,single,D,D,4,False,,"Em relação à esporotricose linfocutânea, assinale a alternativa INCORRETA:"
83,Micoses Subcutâneas - Estudo dirigido,04791df2-309f-54ef-b66f-074dd36440c6,single,C,C,4,False,,"Em relação a esporotricose, é incorreta:"
84,Micoses Subcutâneas - Estudo dirigido,dee33354-0dda-55a2-87fc-a12f33cff97c,single,A,A,4,False,,Em relação a cromoblastomicose (ou cromomicose) é incorreto afirmar:
85,Micoses Subcutâneas - Estudo dirigido,03df385d-a0aa-5a79-87f3-5e140cd95948,single,D,D,4,False,,"Em relação ao micetoma, é correto:"
86,Piodermites - Estudo dirigido,b13a1203-ad06-5450-897a-2626767fbf1c,single,D,D,4,False,,"Criança de 5 anos, feminina, apresentando lesão na região de face há 7 dias. Mãe relata que inicialmente surgiu uma bolha de conteúdo purulento, que rapidamente rompeu-se, resultando em erosão com crosta melicérica. Marque a alternativa que contém a principal hipótese para o caso:"
87,Piodermites - Estudo dirigido,1397c03c-ea44-5f4f-83db-9ced3a74b47b,single,A,A,4,False,,"Paciente comparece à Unidade de Pronto Atendimento apresentando febre e mal-estar. Em terço distal da perna direita, apresenta área de eritema rubro, com edema, dor e aumento da temperatura local, com bordas bem delimitadas. Com base no caso descrito, marque a alternativa INCORRETA:"
88,Piodermites - Estudo dirigido,6c8d076d-6389-5620-9a9a-1a69fc60fbb3,single,C,C,4,False,,"O impetigo é a dermatose infecciosa que apresenta duas formas de manifestação, uma com bolhas (impetigo bolhoso) e outra com vesicocrostas (impetigo não bolhoso). Quanto a essa doença, marque a alternativa INCORRETA:"
89,Piodermites - Estudo dirigido,f2814f85-fe40-5435-a276-4adf5d7f002d,single,C,C,4,False,,"Quanto ao tratamento do impetigo, marque a alternativa INCORRETA:"
90,Piodermites - Estudo dirigido,24a2a15f-3a95-5f80-add2-b7d4759cad1d,single,A,A,4,False,,"Quanto ao tratamento da erisipela, marque a alternativa INCORRETA:"
91,Piodermites - Estudo dirigido,f0aea170-efe6-5379-8a52-092809ed7c1f,single,C,C,5,False,,"Sobre o impetigo bolhoso, marque a alternativa INCORRETA:"
92,Piodermites - Estudo dirigido,fa3a9dcb-6aef-5efb-a8b7-809293909685,single,A,A,4,False,,Qual o tipo de foliculite caracteriza-se pela formação de nódulos e abscessos intercomunicantes no couro cabeludo?
93,Piodermites - Estudo dirigido,1edaf248-0115-5148-8ab0-74d46b38add6,single,B,B,4,False,,Qual a manifestação clássica da espécie Staphylococcus aureus?
94,Piodermites - Estudo dirigido,5a5bd3d8-b265-54fe-8e31-b4c60955117f,single,A,A,5,False,,"A ordem correta, de cima para baixo, é:"
95,Piodermites - Estudo dirigido,ce427097-7016-59a9-9896-18fb5ce1f899,single,B,B,4,False,,"Com relação às doenças que o S. pyogenes pode causar, assinale a alternativa correta:"
96,Piodermites - Estudo dirigido,0bc86979-e556-53bb-889b-f11083eb9d31,multiple,B,"B,D",4,False,,"Sobre as infecções de pele, suas manifestações e agentes etiológicos, assinale a alternativa INCORRETA:"
97,Piodermites - Estudo dirigido,4dcf2383-6e42-5ca7-aedd-08e4ed1a2937,single,C,C,4,False,,"O impetigo e a síndrome da pele escaldada são infecções que podem ser causadas pelo Staphylococcus aureus. Sobre elas, assinale a alternativa correta:"
98,Piodermites - Estudo dirigido,33254519-6833-555d-94e1-c842f2660424,single,D,D,4,False,,"Sobre a fasciíte necrosante e suas bactérias causadoras, assinale a alternativa correta:"
99,Piodermites - Estudo dirigido,7b0759c0-5e83-52c5-bb5e-2a4c724b6f43,single,D,D,4,False,,"A respeito da erisipela e da celulite infecciosa, assinale a opção correta:"
100,Piodermites - Estudo dirigido,c1b65260-6ea1-55c5-9178-9c234cf2e9d5,single,C,C,4,True,dermatologia_p2_q100.png,"Paciente de 13 anos atendido em Unidade de Pronto Atendimento (UPA). Apresenta lesões de pele localizadas próximas à região oral, caracterizadas como pústulas isoladas que se tornaram crostas (veja a imagem). Diagnóstico etiológico foi realizado e confirmado através do crescimento do microrganismo em meio de cultura sólido seguido da coloração de Gram e provas bioquímicas. Com base nessas informações, assinale a alternativa correta:"
101,Piodermites - Estudo dirigido,6698fad5-a5bb-58ca-bd78-95da3d4c535d,single,C,C,4,False,,"Paciente pediátrico: ao exame físico, apresentava faringite acompanhada de ""língua de morango"", febre e anorexia. No tórax, apresentava exantema com minúsculas pápulas ""ásperas"". De acordo com os sintomas clínicos e o resultado da cultura em meio de cultura, foi prescrito tratamento antimicrobiano imediato. O agente microbiológico associado, provavelmente, é:"
102,Piodermites - Estudo dirigido,0d55bf0e-2676-5587-843f-7c4bb6c620ea,single,D,D,5,False,,"Sobre o impetigo, marque a INCORRETA:"
103,Acne - Estudo dirigido,73118fb4-c6f7-5747-925c-e8d62529f9c6,single,D,D,4,False,,"Quanto à patogenia da acne vulgar, marque a alternativa correta:"
104,Acne - Estudo dirigido,b21427b2-170c-5daa-9765-0235ae2423ae,single,C,C,4,False,,"O quadro clínico da acne vulgar é polimorfo, acometendo principalmente face, ombros e porção superior do tórax. Quanto às manifestaçõe clínicas, marque a alternativa correta:"
105,Acne - Estudo dirigido,cc585196-b4ba-583d-a7b6-fffa4e17375d,single,C,C,4,False,,"A hiperqueratinização folicular resulta na formação dos comedões na acne vulgar. Quanto aos tipos de comedões, marque a alternativa INCORRETA:"
106,Acne - Estudo dirigido,50f42767-5d3a-5015-a74f-cd923cce2050,single,D,D,4,False,,"Quanto ao tratamento da acne vulgar, marque a alternativa INCORRETA:"
107,Acne - Estudo dirigido,2348ad2b-ee5c-59d3-a1fb-9f9b519d74ab,single,D,D,4,False,,"Bactérias encontradas na porção profunda do folículo pilossebáceo participam na patogênese da acne. Quanto a esse tópico, marque a alternativa INCORRETA:"
108,Acne - Estudo dirigido,f8302637-38ce-52f2-999d-c3bb0c1e3ef6,single,D,D,4,False,,Qual o grau de acne clinicamente constitui-se de pápulas eritematosas e lesões císticas?
109,Acne - Estudo dirigido,2638a91e-fac3-5a26-979d-19429c6222e8,single,C,C,5,False,,Qual dentre as causas abaixo não é causa aventada na gênese da acne?
110,Acne - Estudo dirigido,a9167d0c-1023-55a1-a81d-29dff55d9a96,single,A,A,4,False,,Qual o mais temido efeito adverso da isotretinoína oral e que consta no termo de consentimento livre e esclarecido do uso da mesma?
111,Acne - Estudo dirigido,a9c94933-7773-525e-83c2-517abbb541c5,single,D,D,4,False,,A acne é uma condição muito prevalente na sociedade. Marque a opção que melhor descreve a lesão:
112,Acne - Estudo dirigido,7f1f725f-2882-5f65-ad7a-77d2c83bc225,single,C,C,4,False,,"Sobre a fisiopatogenia da acne, marque a CORRETA:"
113,Acne - Estudo dirigido,dc4d03b0-ed79-5820-aa9e-fb8f27bd461e,single,B,B,4,False,,( ) O uso crônico de corticoides pode acarretar em acne
114,Acne - Estudo dirigido,c9c6cf47-1b20-5860-8f62-faceea36c9d1,single,A,A,4,False,,"A respeito da acne, marque a alternativa CORRETA:"
115,Acne - Estudo dirigido,94625772-9944-5c76-9538-af820a77ffb9,single,D,D,4,False,,A acne pode ser classificada de acordo com sua morfologia e potencial grau de gravidade. A respeito destas classificações marque a CORRETA:
116,Acne - Estudo dirigido,707e2f8b-fd73-5c10-a7fd-dab77ec1b80f,single,D,D,4,False,,"Sobre a acne, marque a alternativa CORRETA:"
117,Acne - Estudo dirigido,edf72d34-8ff0-562b-88f5-f9d70135a022,single,D,D,5,False,,"A respeito da etiopatogenia da acne vulgar, assinale a opção CORRETA:"
118,Acne - Estudo dirigido,13af0960-251d-5411-8895-2254ff2b6071,single,A,A,4,False,,"Na maior parte dos casos, a acne se origina de um distúrbio primário, ou seja, de uma disfunção do próprio mecanismo folicular/sebáceo. No entanto, existe a acne secundária. Sobre elas, marque a alternativa CORRETA:"
119,Acne - Estudo dirigido,55bde8bc-73d6-5c2b-b1c7-d4cca4e7377d,single,D,D,4,False,,"Paciente masculino, 16 anos, chega ao consultório referindo piora do quadro de acne há 6 meses. Ao exame físico, você nota lesões pustulosas discretas perifoliculares na região da face. Acreditando ser um quadro de acne grau II, qual tratamento está indicado para o paciente?"
120,Acne - Estudo dirigido,0014cb74-ed0e-54df-adb0-d2e5c104e30b,single,A,A,4,False,,"Paciente masculino, 16 anos, refere quadro de acne há 2 anos em rosto e costas. Refere prejuízo na sua vida social e cita problemas na sua auto-aceitação. Cita tratamento tópico anterior para seu quadro de acne, porém ineficaz. Ao exame físico, você nota formações de cicatrizes extensas, abcessos e fístulas no rosto e inúmeras pápulas permeadas por cicatrizes em derme das costas. Qual tratamento você indicaria para o quadro de acne grave apresentado?"
121,Escabiose - Estudo dirigido,2fdb563a-e415-5c01-a037-28cfb2e9b4e3,single,A,A,4,False,,"Paciente feminina, 37 anos, relatando prurido disseminado pelo corpo, com piora à noite e evolução de uma semana. No exame da pele, observou-se presença de pequenas saliências lineares, com menos de 1 cm, com vesicopápula em uma das extremidades. Quanto ao caso relatado, marque a alternativa INCORRETA:"
122,Escabiose - Estudo dirigido,1797c739-153d-56ff-8bf5-f53b17077e70,single,C,C,4,False,,"A diagnose de pediculose do couro cabeludo é sugerida pela queixa de prurido e confirmada pela presença dos ovos ou lêndeas nas hastes dos cabelos. Quanto à pediculose, marque a alternativa INCORRETA:"
123,Escabiose - Estudo dirigido,5036abcf-e2cb-5881-93d5-8f09ebdf5f10,single,B,B,4,False,,"Paciente feminina, 20 anos, fez uso de loção de permetrina 5%, prescrita pelo médico da Unidade Básica de Saúde pelo diagnóstico de escabiose, tendo aplicado a medicação por 2 noites seguidas, repetindo após uma semana. Contudo, retorna para reavaliação referindo permanência do prurido, embora menos intenso. Com base nas informações acima, marque a resposta que contém conduta adequada para o caso:"
